线路ID,站点ID,经度,纬度
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),懿行路和炯路,121.518724,31.131275
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),和炯路林展路,121.516006,31.129788
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),林展路懿行路,121.514793,31.13077
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),懿行路三鲁路,121.511842,31.130511
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),三舒路和融路,121.510086,31.130944
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),和融路三彩路,121.506062,31.130557
1034路(懿行路和炯路-芦恒路枢纽站(下客站)),芦恒路枢纽站(下客站),121.505738,31.123876
1006路(永宁路巨峰路-东力新村),永宁路巨峰路,121.619964,31.284891
1006路(永宁路巨峰路-东力新村),巨峰路金京路,121.622017,31.285412
1006路(永宁路巨峰路-东力新村),金京路源华路,121.623454,31.287595
1006路(永宁路巨峰路-东力新村),高宝路金京路,121.624532,31.296162
1006路(永宁路巨峰路-东力新村),高宝路高建路,121.62605,31.296139
1006路(永宁路巨峰路-东力新村),高设路东靖路,121.628595,31.298231
1006路(永宁路巨峰路-东力新村),东力新村,121.632231,31.293042
1005路(中横港路东立新村桥-晨阳西路新共路),中横港路东立新村桥,121.766366,31.173835
1005路(中横港路东立新村桥-晨阳西路新共路),东立新村,121.764699,31.178736
1005路(中横港路东立新村桥-晨阳西路新共路),东亭路军民路,121.760437,31.179407
1005路(中横港路东立新村桥-晨阳西路新共路),东亭路晨阳路,121.759134,31.180523
1005路(中横港路东立新村桥-晨阳西路新共路),东亭路晚霞路,121.758658,31.182852
1005路(中横港路东立新村桥-晨阳西路新共路),东亭路朝晖路,121.757967,31.186362
1005路(中横港路东立新村桥-晨阳西路新共路),朝晖路江明路,121.754387,31.186413
1005路(中横港路东立新村桥-晨阳西路新共路),朝晖路川南奉公路,121.752339,31.186111
1005路(中横港路东立新村桥-晨阳西路新共路),晨阳路川南奉公路,121.752042,31.180917
1005路(中横港路东立新村桥-晨阳西路新共路),晨阳西路建宜路,121.750223,31.180276
1005路(中横港路东立新村桥-晨阳西路新共路),晨阳西路临翠路,121.744137,31.178202
1005路(中横港路东立新村桥-晨阳西路新共路),晨阳西路新共路,121.741604,31.177395
1010路(长岛路东陆路-巨峰路地铁站),长岛路东陆路,121.609316,31.271975
1010路(长岛路东陆路-巨峰路地铁站),牟平路博兴路,121.605747,31.271473
1010路(长岛路东陆路-巨峰路地铁站),博兴路东陆路,121.604408,31.274119
1010路(长岛路东陆路-巨峰路地铁站),博兴路凌河路,121.607885,31.277171
1010路(长岛路东陆路-巨峰路地铁站),博兴路归昌路,121.607974,31.281299
1010路(长岛路东陆路-巨峰路地铁站),归昌路五莲路,121.606666,31.283405
1010路(长岛路东陆路-巨峰路地铁站),凌河路利津路,121.601277,31.283309
1010路(长岛路东陆路-巨峰路地铁站),利津路巨峰路,121.600352,31.288354
1010路(长岛路东陆路-巨峰路地铁站),双桥路利津路,121.599309,31.290119
1010路(长岛路东陆路-巨峰路地铁站),巨峰路地铁站,121.596007,31.286679
1015路(莱阳路行南路-莱阳路夏碧路),莱阳路行南路,121.589504,31.335418
1015路(莱阳路行南路-莱阳路夏碧路),行南路南新路,121.592225,31.335966
1015路(莱阳路行南路-莱阳路夏碧路),行南路张杨北路,121.594567,31.333979
1015路(莱阳路行南路-莱阳路夏碧路),秋岚路张杨北路,121.597334,31.332815
1015路(莱阳路行南路-莱阳路夏碧路),兰嵩路白萱路,121.599071,31.334701
1015路(莱阳路行南路-莱阳路夏碧路),航津路地铁站,121.60042,31.341752
1015路(莱阳路行南路-莱阳路夏碧路),秋霞路杨高北路,121.597824,31.342623
1015路(莱阳路行南路-莱阳路夏碧路),季景路夏碧路,121.595223,31.342959
1015路(莱阳路行南路-莱阳路夏碧路),夏碧路张杨北路,121.591486,31.341922
1015路(莱阳路行南路-莱阳路夏碧路),莱阳路夏碧路,121.588949,31.340464
1017路(张杨北路洲海路-张杨北路洲海路),张杨北路洲海路,121.595875,31.318124
1017路(张杨北路洲海路-张杨北路洲海路),芳菲路繁锦路,121.594007,31.314703
1017路(张杨北路洲海路-张杨北路洲海路),莱阳路芳湄路,121.58952,31.316003
1017路(张杨北路洲海路-张杨北路洲海路),莱阳路启帆路,121.589533,31.31817
1017路(张杨北路洲海路-张杨北路洲海路),洲海路莱阳路,121.588271,31.322654
1017路(张杨北路洲海路-张杨北路洲海路),浦东北路行南路,121.584368,31.328384
1017路(张杨北路洲海路-张杨北路洲海路),庭安路浦东北路,121.584682,31.330675
1017路(张杨北路洲海路-张杨北路洲海路),莱阳路衡安路,121.589533,31.32732
1017路(张杨北路洲海路-张杨北路洲海路),繁锦路洲海路,121.592983,31.319894
1017路(张杨北路洲海路-张杨北路洲海路),张杨北路洲海路,121.595871,31.318224
1022路(海阳路长清路-林浦路停车场),海阳路长清路,121.498753,31.159976
1022路(海阳路长清路-林浦路停车场),海阳路灵岩南路,121.503285,31.16134
1022路(海阳路长清路-林浦路停车场),海阳路上南路,121.505994,31.162394
1022路(海阳路长清路-林浦路停车场),杨南路上南路,121.509658,31.157122
1022路(海阳路长清路-林浦路停车场),杨南路灵岩南路,121.505018,31.156303
1022路(海阳路长清路-林浦路停车场),华夏西路灵岩南路,121.502862,31.154054
1022路(海阳路长清路-林浦路停车场),华夏西路林浦路,121.481169,31.152065
1022路(海阳路长清路-林浦路停车场),林浦路停车场,121.479997,31.151497
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),康达路关岳路,121.603581,31.127293
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),康丽路康达路,121.603806,31.129538
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),康弘路康佳路,121.604735,31.131922
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),康达路康佳路,121.60059,31.133793
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),川周公路罗山南路,121.604053,31.13695
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),秀沿路地铁站,121.605674,31.142963
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),秀沿路环桥路,121.612209,31.143293
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),秀沿路箭桥路,121.615367,31.14339
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),秀沿路慈桥路,121.624952,31.14359
1020路(康达路关岳路-拯安路慈桥路(横沔卫生中心)),拯安路慈桥路(横沔卫生中心),121.62267,31.146269
1016路(东力新村-金高路俱进路),东力新村,121.632255,31.293129
1016路(东力新村-金高路俱进路),东靖路申江路,121.630737,31.300064
1016路(东力新村-金高路俱进路),东靖路金京路,121.624489,31.299254
1016路(东力新村-金高路俱进路),新行路东靖路,121.618928,31.300662
1016路(东力新村-金高路俱进路),新行路万安街,121.618738,31.302925
1016路(东力新村-金高路俱进路),俱进路新行路,121.616795,31.305503
1016路(东力新村-金高路俱进路),金高路俱进路,121.611869,31.304125
