线路ID,站点ID,经度,纬度
01线,上海西站,121.410351,31.267932000000002
01线,曹杨路芝川路,121.41077800000001,31.266364000000003
01线,曹杨路铜川路,121.41256399999999,31.260610999999997
01线,曹杨路南石路,121.414482,31.254303000000004
01线,武宁新村,121.427916,31.245109999999997
01线,曹杨路谈家渡路,121.42796499999999,31.239677
01线,江苏路愚园路,121.43588799999999,31.228978
01线,江苏路延安西路,121.438529,31.222766999999997
01线,延安西路镇宁路,121.44549099999999,31.224515999999998
01线,延安西路华山路,121.451025,31.226874
01线,延安中路陕西北路,121.46130600000001,31.229923
01线,延安中路石门一路,121.47280400000001,31.229634000000004
01线,延安东路浙江中路,121.487002,31.23542
01线,世纪大道浦东南路,121.517275,31.240306
01线,浦东南路潍坊路,121.52478,31.22748
01线,浦东南路浦电路,121.525377,31.225164000000003
01线,浦东南路宁阳路,121.524919,31.21825
01线,蓝村路南泉路,121.53046599999999,31.217744
1002路,周浦东站,121.613949,31.115940000000002
1002路,海尚乐苑,121.61121399999999,31.121134
1002路,周邓公路周园路,121.603475,31.120091
1002路,周东路年家浜路,121.59413700000002,31.119335999999997
1002路,周东路祝家港路,121.594793,31.117338
1002路,祝家港路周东路,121.59226000000001,31.1159
1002路,祝家港路周市路,121.589978,31.115209000000004
1002路,南八灶,121.58686599999999,31.115712
1002路,韵浦路康沈路,121.584709,31.11774
1002路,韵浦路周康路,121.58183899999999,31.117458000000003
1002路,周康路年家浜路,121.57804399999999,31.119264
1004路,庆荣路东川公路,121.72745900000001,31.242054
1004路,庆利路庆荣路,121.730943,31.242023
1004路,庆利路凌白公路,121.732193,31.237178999999998
1004路,前哨支路凌白公路,121.741183,31.237975
1004路,向东村,121.73952299999999,31.241506
1004路,腾家宅,121.737453,31.243219
1004路,前哨支路前哨路,121.736795,31.245215
1004路,包家宅,121.73946299999999,31.246369
1004路,上海船厂,121.74264299999999,31.24677
1004路,石码头,121.74526599999999,31.246693
1004路,前哨二队,121.74711599999999,31.244754999999998
1004路,向东六队,121.748599,31.243134
1004路,邬家宅,121.750234,31.241296999999996
1004路,利民小学,121.751819,31.239476
1004路,白龙港,121.74993799999999,31.238426
1006路,东力新村,121.63224199999999,31.293021999999997
1006路,高设路东靖路,121.628588,31.2985
1006路,高宝路高建路,121.62648600000001,31.296143
1006路,高宝路金京路,121.62293999999999,31.296208
1006路,金京路源华路,121.623425,31.286653
1006路,巨峰路金京路,121.62273300000001,31.285487
1006路,巨峰路金高路,121.618591,31.285603000000002
1006路,金高路巨峰路,121.616561,31.284665999999998
1006路,永宁路巨峰路,121.61996,31.284876
1005路,晨阳西路新共路,121.74158899999999,31.177390999999997
1005路,晨阳西路临翠路,121.74351200000001,31.17792
1005路,晨阳西路建宜路,121.75034299999999,31.180229999999998
1005路,川南奉公路晨阳路,121.752347,31.182129999999997
1005路,朝晖路川南奉公路,121.75194199999999,31.186057
1005路,朝晖路江明路,121.755742,31.186617
1005路,东亭路朝晖路,121.757943,31.186478
1005路,东亭路晚霞路,121.758626,31.183014
1005路,东亭路晨阳路,121.759174,31.180291999999998
1005路,东亭路军民路,121.760377,31.179392
1005路,东立新村,121.76481100000001,31.178684999999998
1005路,中横港路东立新村桥,121.76636,31.173834000000003
1009路,水华路橄榄路,121.896947,30.892632
1009路,水华路方竹路,121.893883,30.896048999999998
1009路,方竹路水华路,121.895032,30.900384000000003
1009路,方竹路(建桥学院北门),121.899281,30.900634999999998
1009路,方竹路沪城环路,121.906944,30.900507
1009路,茉莉路方竹路,121.913255,30.901428999999997
1009路,宜浩佳园,121.917027,30.906999
1009路,环湖西三路杞青路,121.926199,30.913853999999997
1009路,临港大道环湖西三路,121.931279,30.917545
1009路,滴水湖地铁站(下客站),121.935152,30.913196000000003
100路,吴淞路天潼路,121.495971,31.250901000000002
100路,吴淞路海宁路,121.49487099999999,31.258294
100路,四平路溧阳路,121.49533400000001,31.264803999999998
100路,欧阳路吉祥路,121.49630400000001,31.270576000000002
100路,欧阳路四达路,121.494804,31.273597
100路,欧阳路祥德路,121.493416,31.278303
100路,欧阳路大连西路,121.492778,31.280734000000002
100路,大连西路曲阳路,121.495006,31.282215
100路,玉田路曲阳路,121.49841,31.28483
100路,赤峰路曲阳路,121.498325,31.287916
100路,曲阳路中山北二路,121.497445,31.29275
100路,逸仙路纪念路,121.494426,31.304197
100路,江湾(逸仙路),121.49238700000001,31.308987
100路,逸仙路场中路,121.491996,31.312620000000003
100路,政立路逸仙路,121.494449,31.313623
100路,政立路国权北路,121.501438,31.313626
100路,武川路武东路,121.502435,31.310237
100路,吉浦路仁德路,121.496879,31.309565999999997
1010路,巨峰路地铁站,121.59598999999999,31.286694
1010路,双桥路利津路,121.59943,31.290135
1010路,利津路巨峰路,121.60036000000001,31.287936
1010路,凌河路利津路,121.601219,31.283259
1010路,归昌路五莲路,121.606199,31.2834
1010路,博兴路归昌路,121.607991,31.281647999999997
1010路,博兴路凌河路,121.607942,31.277478000000002
1010路,东陆路长岛路,121.606815,31.274392
1010路,长岛路东陆路,121.609326,31.271986
1015路,莱阳路夏碧路,121.5889,31.340495
1015路,夏碧路张杨北路,121.591443,31.341887
1015路,季景路夏碧路,121.59511200000001,31.343121000000004
